,Actual
159,2122.7919460202856
160,2107.5078648788035
161,2107.006747464329
162,2104.2506016847174
163,2115.5257435104004
164,2111.2662454873644
165,2106.505630049854
166,2103.498925563005
167,2115.5257435104004
168,2115.776302217638
169,2119.534682826199
170,2120.7874763623863
171,2118.5324479972496
172,2069.6735000859553
173,2098.7383101254945
174,2062.156738868833
175,2060.903945332646
176,2085.4586986419117
177,2075.4363503524155
178,2076.6891438886028
179,2078.944172253739
180,2099.2394275399693
181,2114.523508681451
182,2102.246132026818
183,2082.201435447825
184,2096.2327230531205
185,2105.252836513667
186,2092.474342444559
187,2110.5145693656523
188,2098.2371927110194
189,2088.214844421523
190,2097.7360752965446
191,2097.9866340037825
192,2091.9732250300844
193,2100.7427797833934
194,2073.431880694516
195,2077.691378717552
196,2071.1768523293795
197,2074.684674230703
198,2063.40953240502
199,2077.440820010315
200,2083.7047876912497
201,2077.691378717552
202,2077.691378717552
203,2087.7137270070484
204,2080.4475244971636
205,2077.9419374247896
206,2071.1768523293795
207,2064.4117672339694
208,2065.1634433556815
209,2046.371540312876
210,2039.606455217466
211,2023.3201392470346
212,2025.8257263194087
213,2064.4117672339694
214,2082.9531115695377
215,2104.2506016847174
216,2107.758423586041
217,2101.7450146123433
218,2102.7472494412928
219,2120.2863589479116
220,2117.029095753825
221,2127.0514440433217
222,2125.798650507134
223,2136.82323362558
224,2144.59055354994
225,2144.8411122571774
226,2149.6017276946877
227,2155.114019253911
228,2142.836642599278
229,2146.0939057933642
230,2146.0939057933642
231,2131.5615007735946
232,2134.0670878459687
233,2147.0961406223137
234,2152.1073147670622
235,2182.6754770500256
236,2190.442796974385
237,2201.216821385594
238,2198.961793020457
239,2218.2548134777376
240,2202.7201736290185
241,2207.4807890665293
242,2198.961793020457
243,2206.4785542375794
244,2214.4964328691763
245,2211.740287089565
246,2204.2235258724427
247,2207.230230359292
248,2213.995315454702
249,2193.1989427539966
250,2192.4472666322845
251,2179.6687725631773
252,2196.205647240846
253,2215.4986676981266
254,2210.487493553378
255,2223.7671050369604
256,2215.4986676981266
257,2215.999785112601
258,2216.7514612343134
259,2213.995315454702
260,2219.758165721162
261,2214.9975502836514
262,2209.9863761389033
263,2214.9975502836514
264,2206.4785542375794
265,2212.7425219185147
266,2210.7380522606154
267,2226.0221334020976
268,2243.5612429087155
269,2240.053421007392
270,2236.796157813306
271,2221.7626353790615
272,2222.5143115007736
273,2225.77157469486
274,2224.76933986591
275,2242.0578906652913
276,2235.5433642771186
277,2236.044481691594
278,2240.805097129104
279,2254.3352673199242
280,2262.603704658759
281,2275.3821987278666
282,2283.6506360667013
283,2296.6796888430463
284,2293.171866941723
285,2294.6752191851474
286,2301.9414216950317
287,2313.216563520715
288,2309.9593003266286
289,2310.9615351555785
290,2311.4626525700533
291,2318.4782963727007
292,2309.7087416193913
293,2348.294782533952
294,2330.0039969056215
295,2330.7556730273336
296,2327.24785112601
297,2314.7199157641394
298,2311.4626525700533
299,2313.9682396424273
300,2319.981648616125
301,2322.4872356884994
302,2314.2187983496647
303,2336.7690820010316
304,2329.753438198384
305,2328.2500859549596
306,2323.7400292246866
307,2292.1696321127733
308,2296.6796888430463
309,2291.9190734055355
310,2296.9302475502836
